sample ID,sample_name,condition,day,PO4_uM,NO3+NO2_uM,cell_counts,Si_uM
1,MK-CTRL-BLK-T0-B,abiotic,0,6.5,103,0,4.7
2,MK-CTRL-BLK-T0-C,abiotic,0,6.5,102.8,0,4.7
3,MK-BRU-BLK-T0-A,abiotic,0,5.2,105.8,0,4.7
4,MK-BRU-BLK-T0-B,abiotic,0,5.3,102.4,0,5.2
5,MK-BRU-BLK-T0-C,abiotic,0,5.2,102.3,0,5.1
6,MK-CTRL-T0-A,biotic,0,6.6,103.3,2225,4.3
7,MK-CTRL-T0-B,biotic,0,6.5,102.9,1700,4.3
8,MK-CTRL-T0-C,biotic,0,6.5,103.2,1600,4.5
9,MK-BRU-T0-A,biotic,0,5.2,106.7,2075,4.2
10,MK-BRU-T0-B,biotic,0,5,105.3,1875,4.1
11,MK-BRU-T0-C,biotic,0,5,104.8,1875,4.3
12,MK-CTRL-BLK-T3-A,abiotic,3,4.7,100.9,0,4.9
13,MK-CTRL-BLK-T3-B,abiotic,3,4.7,98.5,0,4.4
14,MK-CTRL-BLK-T3-C,abiotic,3,4.3,102.5,0,4.4
15,MK-BRU-BLK-T3-A,abiotic,3,4.6,101.9,0,5.4
16,MK-BRU-BLK-T3-B,abiotic,3,4.5,102.4,0,5.5
17,MK-BRU-BLK-T3-C,abiotic,3,4.5,103,0,4.9
18,MK-CTRL-T3-A,biotic,3,4.9,107,2475,4
19,MK-CTRL-T3-B,biotic,3,4.8,103.3,2600,9.1
20,MK-CTRL-T3-C,biotic,3,4.8,103.7,2225,4.3
21,MK-BRU-T3-A,biotic,3,4.4,106.4,2900,4.4
22,MK-BRU-T3-B,biotic,3,4.4,104.5,2600,4.4
23,MK-BRU-T3-C,biotic,3,4.5,104.5,2150,4.4
24,MK-CTRL-BLK-T6-A,abiotic,6,4,101.9,0,4.8
25,MK-CTRL-BLK-T6-B,abiotic,6,4.1,101,0,4.6
26,MK-CTRL-BLK-T6-C,abiotic,6,3.7,102.1,0,5.7
27,MK-BRU-BLK-T6-A,abiotic,6,4.2,102.8,0,6.2
28,MK-BRU-BLK-T6-B,abiotic,6,4.4,102.7,0,5.8
29,MK-BRU-BLK-T6-C,abiotic,6,4.5,104.9,0,5
30,MK-CTRL-T6-A,biotic,6,4,103.8,8850,4
31,MK-CTRL-T6-B,biotic,6,4,99.5,9850,4.5
32,MK-CTRL-T6-C,biotic,6,3.8,98.8,11000,4
33,MK-BRU-T6-A,biotic,6,3.9,97.2,30525,4.6
34,MK-BRU-T6-B,biotic,6,3.9,97.3,26850,4.8
35,MK-BRU-T6-C,biotic,6,4,98,22875,4.7
36,MK-CTRL-BLK-T8-A,abiotic,8,3.8,101.3,0,5.2
37,MK-CTRL-BLK-T8-B,abiotic,8,4,101.7,0,4.6
38,MK-CTRL-BLK-T8-C,abiotic,8,3.5,102.8,0,5.8
39,MK-BRU-BLK-T8-A,abiotic,8,4.1,103.1,0,5.6
40,MK-BRU-BLK-T8-B,abiotic,8,4.5,104.5,0,5.4
41,MK-BRU-BLK-T8-C,abiotic,8,4.6,104.2,0,5.1
42,MK-CTRL-T8-A,biotic,8,3.1,93.1,75650,5.1
43,MK-CTRL-T8-B,biotic,8,2.3,78,139425,4.1
44,MK-CTRL-T8-C,biotic,8,2.2,76.9,190350,5
45,MK-BRU-T8-A,biotic,8,2.2,72.1,373500,4.3
46,MK-BRU-T8-B,biotic,8,1.9,67.3,422000,4.2
47,MK-BRU-T8-C,biotic,8,2.4,74.6,381500,4.1